Witness State,min value,optimized b,optimized a,fidelity
W1P,[0.14156837],[-0.7206929],0.6932544633730823,(0.1420423784433934+8.226369150392247e-11j)
W2N,[0.1854871],[-0.66753802],-0.7445757125533944,(0.1868162128962594-1.0400553187824684e-14j)
W5N,[0.2245182],[-0.81355291],-0.5814908919332803,(0.26201859862148674+5.580140378813219e-09j)
W3P,[0.22669842],[-0.83699165],0.5472156568909945,(0.2595788526993081-1.0792542613126293e-09j)
W6N,[0.25273506],[-0.35529139],-0.9347555962523781,(0.23145373339211606-1.7470060065939004e-09j)
W4N,[0.25463013],[-0.22803839],-0.9736521414169483,(0.23747375865490836-5.494734692304382e-10j)
