Witness State,min value,optimized b,optimized a,fidelity
W3P,[-0.41075749],[-0.99995487],0.009500161607045792,(-0.010886622381542806-6.936153429205532e-11j)
W1N,[-0.41068277],[-0.99999738],-0.002291009805303686,(0.07799445872357828-3.706047441968485e-12j)
W5P,[-0.41068266],[-0.99999965],0.0008404817282568258,(0.910668485800892+4.755634012376775e-11j)
W2N,[0.30685007],[-0.73685562],-0.6760501397813032,(0.04000085961039232+2.0493459246197104e-10j)
W4P,[0.47847411],[-0.99774097],0.06717857006795926,(0.07858858270782529+2.9576533770133816e-11j)
W6N,[0.47858249],[-0.99940245],-0.034565032245390766,(0.9095391104962604-2.93572212338217e-10j)
