Witness State,min value,optimized b,optimized a,fidelity
W4P,[-0.33820548],[-0.99996217],0.008698563878272687,(0.1464101919712133+0j)
W6P,[-0.33817068],[-0.99998751],0.004997930270530127,(0.013713378135514383+1.8487656154425957e-11j)
W2P,[-0.33815469],[-0.99999685],0.0025109317914929494,(-0.004203251327873831-2.0242039495745534e-12j)
W1P,[0.1513167],[-0.69782435],0.7162689262957254,(0.07887531144093543+7.623139757181355e-11j)
W5N,[0.48174295],[-0.40966349],-0.9122367175557384,(0.699794500152662+1.2836403734006874e-08j)
W3N,[0.48609503],[-0.09926411],-0.9950611221430066,(0.149479549704763-2.6090252234090585e-09j)
