Witness State,min value,optimized b,optimized a,fidelity
W4N,[-0.4255687],[-0.99999637],-0.0026938694906707187,(0.06474049305963403+0j)
W6P,[-0.42556577],[-0.99999995],0.0003280901179923715,(0.0030377943636324145+0j)
W2P,[-0.42556577],[-0.99999997],0.00023309208615738663,(0.006729462112762586+4.336808689942018e-19j)
W1P,[0.48210267],[-0.75568488],0.654935387190094,(0.03116449589575816+6.938893903907228e-18j)
W3P,[0.4902398],[-0.83031314],0.5572971351756597,(0.2895566848787175-6.938893903907228e-18j)
W5N,[0.49310291],[-0.97921927],-0.20280439297183073,(0.008872780589580673+0j)
