Witness State,min value,optimized b,optimized a,fidelity
W3P,[-0.44182866],[-0.99996725],0.008093588277707231,(0.0014402488352313026+9.854972801939048e-11j)
W5P,[-0.44177059],[-0.99999922],0.001246016225003122,(0.04013698462244361-2.1643219087479795e-18j)
W1N,[-0.44176992],[-0.99999959],-0.0009000284328349841,(0.94178196585379-8.935299122400221e-12j)
W2P,[0.48065925],[-0.93236975],0.36150607910793964,(0.03571357288584282-8.833115130389565e-11j)
W6N,[0.48319434],[-0.99490907],-0.10077672829558779,(0.03991417399177828+7.892462585593488e-10j)
W4N,[0.48329648],[-0.99818475],-0.060226326361381664,(0.9382879356711533-1.0242878352902102e-08j)
