Witness State,min value,optimized b,optimized a,fidelity
W4P,[-0.45581298],[-0.99998926],0.004633770286520724,(0.03088315268893652+4.02566826857145e-10j)
W6P,[-0.45580326],[-0.9999937],0.003550066142673834,(0.010708630523220375+4.287234137747078e-10j)
W2P,[-0.45579321],[-0.99999993],0.000370308422839715,(0.002623031100572039-6.335775089412139e-11j)
W3P,[0.48873475],[-0.24557305],0.9693780868160549,(0.027615559013428593+3.152064124631034e-09j)
W5N,[0.48913886],[-0.13391526],-0.9909927872316203,(0.9388446890558882+5.148228062199052e-09j)
W1P,[0.48919123],[-0.10879091],0.9940646545454855,(0.030114196000534072+3.000863825162071e-09j)
