Witness State,min value,optimized b,optimized a,fidelity
W6P,[-0.17574203],[-0.99995225],0.009772210676434004,(0.3027444547719409+2.5802590337019714e-10j)
W2P,[-0.17570756],[-0.99999928],0.0011973099617302672,(0.013865753568798551+3.891290550173088e-11j)
W4N,[-0.17570726],[-0.9999999],-0.0004489911444678316,(-0.0011718857453663798-2.054927494461774e-11j)
W1P,[0.03901763],[-0.7012373],0.7129279402160063,(0.16531956311698837+1.928251645854674e-09j)
W5N,[0.48081883],[-0.45513604],-0.8904219123933064,(0.5386077341208849+5.6002052930726426e-09j)
W3N,[0.48456344],[-0.29394291],-0.9558229766916394,(0.2807276286341062-1.2101801111378958e-09j)
