Witness State,min value,optimized b,optimized a,fidelity
W5P,[-0.44386646],[-0.00342229],0.9999941439584208,(0.006312248816138508+0j)
W3P,[-0.443865],[-0.00317637],0.9999949553374077,(0.04359493499524572+0j)
W1N,[-0.44385664],[-0.00089491],-0.9999995995696775,(0.00631188155211145+0j)
W2N,[0.47607005],[-0.70653905],-0.7076740566351571,(0.47051612796948694+0j)
W6P,[0.48884726],[-0.7051385],0.7090695991132719,(0.47247522161733785+0j)
W4N,[0.48982382],[-0.70460959],-0.7095951850929678,(0.03268668737871963+0j)
