Witness State,min value,optimized b,optimized a,fidelity
W5N,[-0.46475568],[-0.99998733],-0.005033593479963281,(0.0003746554075920263+0j)
W3P,[-0.46474777],[-0.99999072],0.004307022639003431,(0.025715102785311306+0j)
W1N,[-0.46473206],[-0.99999978],-0.0006645141046345955,(0.9647365960763736+0j)
W2N,[0.48181485],[-0.81678801],-0.5769378993919948,(0.01647271497275126-1.734723475976807e-18j)
W4N,[0.49063432],[-0.996355],-0.08530362204558989,(0.02547079798750324+0j)
W6P,[0.49067448],[-0.99856614],0.05353182469547801,(0.962422537403813+0j)
