Witness State,min value,optimized b,optimized a,fidelity
W4P,[-0.4246521],[-0.99999459],0.003288980953605652,(0.06057089190606451-7.729868567716582e-10j)
W6P,[-0.42464858],[-0.99999619],0.0027596264799732094,(0.01546500238667909-2.0473850632260896e-10j)
W2P,[-0.42464477],[-1.],0.0,(-0.0019097615695107249+2.4967704534511624e-19j)
W1P,[0.30475546],[-0.69061816],0.7232195756160095,(0.037169086969800876-3.4431718947168693e-10j)
W5N,[0.48333269],[-0.24655243],-0.969129454577536,(0.8693774675963597-2.365951534608649e-08j)
W3N,[0.48453447],[-0.00535348],-0.9999856700300026,(0.06176767657404958-2.0623996340825437e-11j)
