Witness State,min value,optimized b,optimized a,fidelity
W4N,[-0.46134511],[-0.00302253],-0.9999954321528541,(0.02837817639820242+0j)
W2P,[-0.46133688],[-0.00056448],0.9999998406783667,(0.004727253265592391+0j)
W6P,[-0.46133659],[-8.0500567e-05],0.9999999967598293,(0.02831903945925502+6.938893903907228e-18j)
W1P,[0.4864229],[-0.68828185],0.7254433769990892,(0.5113977273622861+0j)
W3N,[0.49394163],[-0.49934071],-0.8664057086255381,(0.022658308075519662+0j)
W5N,[0.49420448],[-0.3789686],-0.9254095311872165,(0.8236972852927482+0j)
