Witness State,min value,optimized b,optimized a,fidelity
W3P,[-0.31643256],[-0.99993692],0.01123160069398291,(-0.008908254949406969+3.160183929822261e-11j)
W1N,[-0.31635792],[-0.99999413],-0.0034253484363456145,(0.17298974917058058+0j)
W5P,[-0.31635517],[-0.99999604],0.002814635274312396,(0.816304837712119+1.1299701384616478e-08j)
W2N,[0.14264671],[-0.72008085],-0.693890170516635,(0.08438984498617298-5.133931736361439e-10j)
W6P,[0.48145105],[-0.97642151],0.21587273351885491,(0.16802832739823706-1.1781637285525864e-09j)
W4N,[0.48260387],[-0.99638404],-0.08496374751048039,(0.8116806987473325+1.7940767402528122e-08j)
