State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LA,25578.32,31.751520698490435,28989.0,42.99910851789062,0.0,0.0,13227.48,21.29014795627311,818.48,6.111224645410006,0.0,0.0,365.32,3.485072930848555,0.0,0.0
RA,25578.88,36.50353042286915,28842.96,37.7545794131873,0.0,0.0,13185.76,22.24591947601477,843.04,5.035368242078559,0.0,0.0,353.92,4.518082189011912,0.0,0.0
VA,26318.12,34.52585118429378,28980.48,33.43028168193223,0.0,0.0,13130.44,19.982749226937383,1536.4,7.957805392610872,0.0,0.0,13.48,0.7373827590426381,0.0,0.0
HA,25457.64,25.42248873209178,28907.52,32.97408679554296,0.0,0.0,13179.2,27.631383123783962,12.84,0.7498444283094104,0.0,0.0,765.68,4.9479692804220194,0.0,0.0
DA,26025.8,26.820700960265746,28870.2,38.129472415267784,0.0,0.0,13186.96,21.06715294797409,774.48,5.4006542813502385,0.0,0.0,391.56,3.740356489248942,0.0,0.0
AA,25870.84,39.54578275029252,28919.44,36.88251979822782,0.0,0.0,13166.28,20.91518746429653,753.44,5.690366127646504,0.0,0.0,391.6,3.1994791242742417,0.0,0.0
AD,25859.64,23.707585284039364,28569.24,29.052382575846224,0.0,0.0,13400.2,21.245705448395917,782.16,4.537502984388366,0.0,0.0,364.16,4.179186523714873,0.0,0.0
DD,25954.72,30.444677695781245,28613.8,31.3427290877273,0.0,0.0,13397.88,23.517533884317043,762.36,6.006629670622287,0.0,0.0,407.2,4.8733971724044824,0.0,0.0
HD,25353.84,35.55210636047697,28434.36,42.16467241660961,0.0,0.0,13394.56,20.42140053962999,1518.56,7.051968992179892,0.0,0.0,14.4,0.6454972243679029,0.0,0.0
VD,26304.52,31.210261133159396,28499.84,42.041355829706546,0.0,0.0,13346.92,25.13091854005075,16.24,0.7578038444522874,0.0,0.0,767.16,5.950540591688568,0.0,0.0
RD,25555.52,33.768679768882485,28498.64,36.58555634855555,0.0,0.0,13377.2,23.56904749878535,663.16,4.525733826316641,0.0,0.0,444.84,3.717382591734853,0.0,0.0
LD,25441.0,39.37613490427927,28474.6,30.805897703740648,0.0,0.0,13370.68,18.767145050149033,749.64,5.21468439441289,0.0,0.0,398.28,4.413434037118941,0.0,0.0
LH,25478.64,25.094679382955526,28691.88,33.55966428119725,0.0,0.0,13275.96,24.859101619594647,620.56,5.394466300447771,0.0,0.0,466.64,3.5335911855599065,0.0,0.0
RH,25516.68,35.78438765718927,28647.08,33.1105179663502,0.0,0.0,13299.2,23.80259089539064,914.64,6.355019013871372,0.0,0.0,312.48,3.6097645352571135,0.0,0.0
VH,26309.6,32.14368781995411,28651.52,31.4658608653887,0.0,0.0,13345.48,23.01087568955167,768.04,5.18024452447308,0.0,0.0,390.64,4.564675965133414,0.0,0.0
HH,25336.08,33.745662437316795,28690.52,43.39831486743849,0.0,0.0,13288.2,26.259537949730447,750.92,4.354277590293633,0.0,0.0,401.64,5.055650304362437,0.0,0.0
DH,25925.16,45.88557071672968,28644.52,38.526792409092835,0.0,0.0,13341.32,29.22634199941325,44.92,1.259523719506703,0.0,0.0,770.0,5.2427728032660985,0.0,0.0
AH,25826.28,34.306730146333294,28721.12,39.296408656941324,0.0,0.0,13294.64,22.323969181129062,1463.88,6.180431484397618,0.0,0.0,34.52,1.3368121284109695,0.0,0.0
AV,25866.64,42.41174680046398,28777.68,33.053528303848786,0.0,0.0,13237.92,14.474566199602208,77.28,1.4323872846871175,0.0,0.0,720.28,4.417208771762246,0.0,0.0
DV,25887.0,26.106767960307405,28748.76,33.43751785046253,0.0,0.0,13259.8,23.866852885679474,1494.08,7.0564202444771285,0.0,0.0,38.04,1.4159566848365572,0.0,0.0
HV,25335.76,36.80363568996954,28722.6,41.01633820808483,0.0,0.0,13257.68,28.635567627224248,802.28,5.097881913108619,0.0,0.0,370.48,4.097609058951329,0.0,0.0
VV,26289.4,33.60109125212057,28747.96,27.10974486539235,0.0,0.0,13266.92,26.272287046746932,787.24,5.993963630186623,0.0,0.0,396.16,4.3407679812063975,0.0,0.0
RV,25512.24,31.91192462596597,28821.44,31.92006056802942,0.0,0.0,13209.04,17.95415272297749,576.92,5.981337643036046,0.0,0.0,482.4,3.0506829836393465,0.0,0.0
LV,25467.56,41.41835663889462,28670.88,31.586617419407226,0.0,0.0,13234.24,22.333030843722636,946.2,6.28914408590973,0.0,0.0,291.8,2.5403411844343533,0.0,0.0
LL,25468.2,32.26169038762021,28537.68,41.058767638593345,0.0,0.0,13385.88,25.089992692970903,46.8,1.1661903789690602,0.0,0.0,744.24,5.118684726893553,0.0,0.0
RL,25506.2,31.369571243483712,28452.84,33.29237550350931,0.0,0.0,13369.52,17.472465958377676,1474.56,6.53046195405297,0.0,0.0,35.32,0.7804272334219678,0.0,0.0
VL,26262.88,28.473866380712444,28453.48,26.588789617681606,0.0,0.0,13350.76,19.948289818093848,788.84,5.672941623766867,0.0,0.0,379.12,4.135343597171421,0.0,0.0
HL,25324.44,28.94287937760627,28446.68,32.939627603642805,0.0,0.0,13362.4,28.47987593605937,752.96,6.322309704530457,0.0,0.0,396.08,4.304230477100408,0.0,0.0
DL,25840.0,33.67417408044331,28451.32,34.54165215118312,0.0,0.0,13382.56,21.93680924838432,897.72,6.571027316942154,0.0,0.0,317.6,3.21403173599764,0.0,0.0
AL,25768.84,30.408807934544228,28474.68,31.46202578771219,0.0,0.0,13354.56,29.3088200604073,630.2,3.7925365302569376,0.0,0.0,454.2,3.442867022313429,0.0,0.0
AR,25790.4,32.35130084968249,28467.12,29.259603551654624,0.0,0.0,13146.32,22.970613110377936,918.2,5.141011573610781,0.0,0.0,301.76,3.1428649350552744,0.0,0.0
DR,25851.52,23.753744967899273,28522.84,26.61463757659182,0.0,0.0,13176.76,29.549183857877807,630.12,5.545965500553832,0.0,0.0,467.24,4.330619663127514,0.0,0.0
HR,25261.24,28.547812525655974,28522.36,31.882224932815888,0.0,0.0,13139.64,22.58405632299034,766.76,6.430469137888257,0.0,0.0,383.36,2.9262490210734518,0.0,0.0
VR,26230.84,29.448298196443652,28491.96,30.448507352578055,0.0,0.0,13191.68,30.134848044525903,762.36,5.450345554794363,0.0,0.0,399.96,3.938053664777395,0.0,0.0
RR,25413.48,29.257199683724576,28537.72,37.68224692522108,0.0,0.0,13150.28,19.729041199882644,68.84,1.6059057672644848,0.0,0.0,722.76,5.206816045659125,0.0,0.0
LR,25413.36,30.303953537451186,28542.2,31.747545836909456,0.0,0.0,13206.04,21.873612717915012,1448.04,7.911906639152579,0.0,0.0,33.96,1.0057832768544128,0.0,0.0
