State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LA,26188.36,27.341475210139386,39758.48,34.198495093595376,0.0,0.0,8551.56,19.72224463222514,1154.32,5.466479671598533,0.0,0.0,213.32,2.4682787524912984,0.0,0.0
RA,26214.24,31.37612043152138,39616.16,40.172074877954714,0.0,0.0,8391.12,16.753837371380524,1217.36,7.6602610921560625,0.0,0.0,204.44,2.544981990767977,0.0,0.0
VA,35845.72,41.94661368930751,39598.0,34.52477371395792,0.0,0.0,8412.8,17.939063520708096,2191.6,10.55383026835913,0.0,0.0,15.6,0.8082903768654761,0.0,0.0
HA,16657.0,24.846797244983776,39576.28,38.12630413070046,0.0,0.0,8414.52,16.43797635558181,10.76,0.7773459118479151,0.0,0.0,451.36,4.381734816257142,0.0,0.0
DA,26775.12,32.0794492887061,39499.6,48.37296076666523,0.0,0.0,8427.4,17.753403429577478,1120.32,7.393402464359694,0.0,0.0,227.56,2.3000579702839374,0.0,0.0
AA,25766.88,30.57555232534647,39610.88,41.91433008729433,0.0,0.0,8420.92,16.804356577982983,1079.16,7.170699640434909,0.0,0.0,232.56,2.764706132665821,0.0,0.0
AD,25752.72,28.014491488037635,19028.2,26.484838430065356,0.0,0.0,18066.72,23.942397540764375,482.52,4.775674472434931,0.0,0.0,513.84,5.009550878072803,0.0,0.0
DD,26719.0,36.664105971190224,19023.48,25.654637007761387,0.0,0.0,18067.0,30.06376556587681,449.8,4.171730256540244,0.0,0.0,568.72,6.646181861289483,0.0,0.0
HD,16699.8,31.92945348733673,19050.52,31.478464596185965,0.0,0.0,17997.8,27.499696968027358,921.24,7.149657334446177,0.0,0.0,10.32,0.7782887210626486,0.0,0.0
VD,35851.44,31.811794458449945,19031.96,19.091313906241933,0.0,0.0,18031.6,19.06112973217135,15.88,0.9061272905429274,0.0,0.0,1093.0,6.719374970932937,0.0,0.0
