State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LA,23907.24,22.587775454878244,10914.64,22.023614598879995,0.0,0.0,20550.08,25.970490946456902,235.88,2.1034257771549725,0.0,0.0,602.52,3.9837670614633076,0.0,0.0
RA,23934.8,37.4468957324903,10903.8,17.624414883904656,0.0,0.0,20503.72,33.90631799532353,239.6,3.7027017163147233,0.0,0.0,554.84,4.016914238566714,0.0,0.0
VA,9916.56,20.99262410149495,10852.96,19.783619486838095,0.0,0.0,20512.56,32.39213278971711,435.28,4.159134525355006,0.0,0.0,7.76,0.6279065747917174,0.0,0.0
HA,39361.96,42.6088597985599,10916.96,25.29100498859888,0.0,0.0,20473.12,29.93071554997196,12.2,0.6708203932499369,0.0,0.0,1241.6,4.24106904761838,0.0,0.0
DA,24021.0,30.920435529489772,10860.32,25.677273998615977,0.0,0.0,20573.28,26.616631392170326,228.88,2.76485080971831,0.0,0.0,618.92,4.5302391401190585,0.0,0.0
AA,25389.24,31.686815344345774,10901.4,23.46124463876544,0.0,0.0,20525.64,28.883898628820866,219.08,2.5032778511383826,0.0,0.0,640.28,5.182830629427643,0.0,0.0
AD,25344.44,24.502794398462665,43712.52,39.04100920826714,0.0,0.0,5243.44,19.078092147801364,1309.16,6.9502230180045315,0.0,0.0,103.2,1.6583123951777001,0.0,0.0
DD,23977.16,34.55718352721085,43661.4,43.26911908817496,0.0,0.0,5228.2,14.348286773456033,1249.2,5.7436921923097515,0.0,0.0,126.28,2.1629609335353237,0.0,0.0
HD,39340.56,46.22618594115966,43725.2,52.55971207430015,0.0,0.0,5247.88,14.340539273913887,2546.48,9.855475635401877,0.0,0.0,17.84,0.74761844100673,0.0,0.0
VD,9912.72,22.143059108141916,43774.32,44.258510292748596,0.0,0.0,5245.2,15.589205667170262,11.72,0.6442566776267566,0.0,0.0,212.84,3.3895329078404495,0.0,0.0
RD,23919.84,21.516867801796803,43709.2,25.239915477935604,0.0,0.0,5236.0,17.348679104377563,1131.8,6.402863942539048,0.0,0.0,127.72,2.202665052461071,0.0,0.0
LD,23845.88,28.548632191402795,43739.84,41.42542214631011,0.0,0.0,5225.4,16.442120706689064,1212.96,7.932733870908987,0.0,0.0,119.24,1.7600000000000002,0.0,0.0
LH,23918.68,30.887360953416966,27304.12,41.57973544889386,0.0,0.0,12834.52,22.215093967840875,555.64,4.88974436959643,0.0,0.0,446.72,4.8629620603085115,0.0,0.0
RH,23843.32,27.332442261898215,27319.56,35.44620713137021,0.0,0.0,12811.92,22.29289273886784,848.2,6.51536645170477,0.0,0.0,255.92,3.1622354961851484,0.0,0.0
VH,9930.36,23.8755020889614,27303.64,33.81591735657436,0.0,0.0,12822.4,25.73667940249221,226.04,3.214799112438184,0.0,0.0,110.2,1.7953644012660308,0.0,0.0
HH,39370.16,32.28899089989239,27342.16,30.662119952801696,0.0,0.0,12826.68,19.487749998396428,1257.88,9.49742421220968,0.0,0.0,642.28,4.089629160042103,0.0,0.0
DH,23994.36,32.365046990027174,27354.28,31.353762134710404,0.0,0.0,12886.04,24.008781726693254,252.68,3.7690493938569363,0.0,0.0,612.72,6.375609774758803,0.0,0.0
AH,25367.44,34.820112961716056,27389.88,34.18178462280751,0.0,0.0,12863.84,20.09101623445995,1216.12,6.464858853834319,0.0,0.0,150.52,2.2465677525208685,0.0,0.0
AV,25300.2,33.376688471646396,27290.28,34.532956239897366,0.0,0.0,12862.04,28.15762063811501,301.2,3.128364855106685,0.0,0.0,577.32,4.591194470578073,0.0,0.0
DV,23957.24,20.779419305328695,27335.04,27.41340791170141,0.0,0.0,12883.64,18.454437587384415,1211.64,6.310805548158386,0.0,0.0,135.32,2.1769397480561254,0.0,0.0
HV,39301.28,33.03828688052697,27293.24,28.06874180768826,0.0,0.0,12881.44,24.466990006946098,1295.96,9.611534736970992,0.0,0.0,618.0,5.645942495869637,0.0,0.0
VV,9945.64,22.569144127916477,27398.12,33.33183263288514,0.0,0.0,12862.52,19.339693206804842,220.96,3.4705811232894894,0.0,0.0,111.04,2.172924296886571,0.0,0.0
RV,23907.92,33.238928983948924,27343.24,32.464199769387,0.0,0.0,12864.52,20.896181469349848,504.32,4.299116188241485,0.0,0.0,423.2,4.127145906474998,0.0,0.0
LV,23872.88,29.043606295821235,27298.48,25.629222904073128,0.0,0.0,12888.84,21.57024802824483,905.04,5.506505243800282,0.0,0.0,275.0,2.530480850220632,0.0,0.0
LL,23892.28,33.59104642609397,27148.96,30.870292083706193,0.0,0.0,12857.56,20.522189616770103,231.44,2.65711623130541,0.0,0.0,600.28,5.279684333998261,0.0,0.0
RL,23942.68,33.31429723106883,27155.88,41.855796890434824,0.0,0.0,12811.4,23.23381156848785,1153.04,6.20496575333015,0.0,0.0,117.68,2.4458945193936716,0.0,0.0
VL,9902.48,18.409428743626638,27139.88,23.810314291639806,0.0,0.0,12889.56,21.22891738486288,222.64,2.812993660379158,0.0,0.0,107.16,2.0409801566894274,0.0,0.0
HL,39354.32,37.85462191067295,27190.08,40.995646923382814,0.0,0.0,12925.44,20.237430666959675,1248.96,8.345154282576207,0.0,0.0,637.32,5.17291664988589,0.0,0.0
DL,23910.52,35.00619564210503,27123.44,34.98685848524652,0.0,0.0,12852.4,17.07307822274589,878.2,5.730328670038627,0.0,0.0,292.36,2.7754158847519292,0.0,0.0
AL,25399.0,39.301569095054376,27132.08,38.29829935301741,0.0,0.0,12931.56,21.925713975452048,582.32,4.98120467357044,0.0,0.0,462.76,4.62359167747326,0.0,0.0
AR,25405.48,35.95636800345663,28218.2,31.486452113038503,0.0,0.0,12301.16,26.212889958949585,929.28,6.36252570394284,0.0,0.0,276.24,2.995708040959043,0.0,0.0
DR,23959.92,27.56089742128632,28154.8,31.989373235498068,0.0,0.0,12250.92,20.690168357620163,586.44,4.291883813276714,0.0,0.0,444.2,3.9694667987862884,0.0,0.0
HR,39258.36,42.840980380939,28170.56,46.740064184808304,0.0,0.0,12295.2,28.021360899618465,1268.68,8.293113609093592,0.0,0.0,623.52,4.653357211018013,0.0,0.0
VR,9875.96,21.279448614410413,28175.6,30.95550570307862,0.0,0.0,12282.24,24.239312421491388,218.16,2.5636432409106122,0.0,0.0,108.84,2.0733869232088193,0.0,0.0
