State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LA,24312.2,29.913709231721832,10499.4,15.75277753286702,0.0,0.0,20272.72,31.972984429566992,249.44,2.375626233227778,0.0,0.0,635.04,5.3698168808008075,0.0,0.0
RA,24348.92,22.665386238344443,10501.16,21.970637981937013,0.0,0.0,20240.48,27.887877892255148,239.44,3.354638579638647,0.0,0.0,566.0,4.259890452425586,0.0,0.0
VA,9961.76,21.634176665637177,10502.96,19.421249530690176,0.0,0.0,20229.68,25.220674059192,438.04,3.701567235644924,0.0,0.0,8.68,0.5879909296352566,0.0,0.0
HA,40038.0,45.467460892378845,10473.32,28.721752499920104,0.0,0.0,20173.76,31.83673350078491,11.28,0.6916646586316232,0.0,0.0,1253.32,5.808533951580783,0.0,0.0
DA,24366.16,28.15899382672139,10560.4,20.00508268749053,0.0,0.0,20259.12,26.71474748773294,244.88,3.4839249896249678,0.0,0.0,617.24,5.301345741098826,0.0,0.0
AA,25852.16,33.8401970049427,10527.8,19.32054174533761,0.0,0.0,20282.24,32.91632219229036,210.04,2.6611275805567836,0.0,0.0,673.72,4.992501043231405,0.0,0.0
AD,25772.88,41.18912963392162,43022.0,37.712553170882856,0.0,0.0,5125.36,12.773002779299784,1318.64,8.399380929568562,0.0,0.0,106.68,2.1116502235613424,0.0,0.0
DD,24328.4,25.458659299604395,43045.4,41.87716163574922,0.0,0.0,5137.84,10.483428192469614,1234.76,6.763697213802521,0.0,0.0,133.56,2.218918655561758,0.0,0.0
HD,40114.88,38.79872506496401,43116.12,39.18015313905754,0.0,0.0,5125.36,13.376581526433924,2557.2,10.877193265421615,0.0,0.0,20.28,0.9583318840568751,0.0,0.0
VD,9943.56,17.28892516420073,43041.16,36.867450865680055,0.0,0.0,5156.76,14.107359781333994,12.76,0.7533923280734944,0.0,0.0,219.6,2.625515822335362,0.0,0.0
RD,24364.88,28.3359794842764,43072.72,47.31840797547329,0.0,0.0,5110.12,11.7622730229606,1143.6,5.134199061197375,0.0,0.0,117.12,2.6940180647748693,0.0,0.0
LD,24368.36,37.583235624411046,43081.24,40.7880407309136,0.0,0.0,5143.56,17.054137327933066,1255.8,6.5810333535091585,0.0,0.0,131.52,2.1787764150244207,0.0,0.0
LH,24361.72,31.71889657601601,26855.56,37.58532869795518,0.0,0.0,12766.2,23.857493581682043,640.76,4.679130973446529,0.0,0.0,446.52,4.892892804875251,0.0,0.0
RH,24338.12,33.6542379698803,26884.56,38.99397731274237,0.0,0.0,12690.96,23.438606329444305,772.48,6.270066453661662,0.0,0.0,304.2,2.9,0.0,0.0
VH,9945.28,22.463490378834717,26832.64,28.298873946972993,0.0,0.0,12705.96,22.355721117124954,243.64,2.5696173515395895,0.0,0.0,104.64,1.7775263711123952,0.0,0.0
