State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LA,26871.12,36.783434677401544,47630.24,50.695373884934845,0.0,0.0,5048.64,13.832435312216958,1416.12,7.590634580411136,0.0,0.0,111.28,1.9506580086387941,0.0,0.0
RA,26897.52,27.300495721994984,47574.56,46.898225979241474,0.0,0.0,5056.0,10.636572129528698,1483.64,7.046483756692649,0.0,0.0,115.08,2.0239565212721344,0.0,0.0
VA,43008.92,48.45626619265389,47596.12,46.404860377622796,0.0,0.0,5018.4,17.18817422919995,2684.56,9.147509679324386,0.0,0.0,16.72,0.7799999999999998,0.0,0.0
HA,10370.16,17.187173512050585,47624.24,39.81613073449838,0.0,0.0,5022.16,14.510763820925025,8.12,0.5238320341483519,0.0,0.0,234.52,2.0265899108272167,0.0,0.0
DA,27530.48,31.615297984783677,47564.24,35.34823333633521,0.0,0.0,5027.44,13.764335557277487,1383.4,7.493330367733696,0.0,0.0,122.04,1.9222209377002772,0.0,0.0
AA,25974.72,31.412869973945398,47438.96,50.332013669234414,0.0,0.0,5024.96,10.429841801293058,1319.84,8.264921858876423,0.0,0.0,122.84,2.692384321253809,0.0,0.0
AD,25881.88,25.368899595107916,12096.12,20.785757944644054,0.0,0.0,21675.4,32.81280237955911,248.64,2.909684977221189,0.0,0.0,638.8,5.322593352868506,0.0,0.0
DD,27559.56,36.24035871787142,12077.4,22.33577101124263,0.0,0.0,21671.64,30.090024925214003,226.8,2.658947160061666,0.0,0.0,700.92,4.8197233668887405,0.0,0.0
HD,10348.0,17.19505742938941,12075.08,21.20903266692441,0.0,0.0,21675.76,24.849029491444263,460.68,4.110036496188324,0.0,0.0,6.0,0.4618802153517006,0.0,0.0
VD,43072.96,30.165625028056905,12072.52,20.262207842845427,0.0,0.0,21705.44,30.458446009823508,13.72,0.601442709934482,0.0,0.0,1320.12,8.05508535026166,0.0,0.0
RD,26827.68,30.978095486972723,12083.96,24.122636671806838,0.0,0.0,21623.88,29.64991961765383,194.6,3.1096623610932426,0.0,0.0,741.76,4.130488268151034,0.0,0.0
