State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LA,27738.84,35.06354612224306,53539.64,46.74672466244739,0.0,0.0,2433.96,10.211183411665207,1603.36,8.475431159140715,0.0,0.0,35.76,1.1976087285364394,0.0,0.0
RA,27668.48,38.01320472327128,53510.28,41.3912841066812,0.0,0.0,2446.76,8.398071207128456,1685.0,9.387757985802574,0.0,0.0,35.64,1.1311940593903418,0.0,0.0
VA,48991.16,39.56074148277136,53345.12,48.25723848985421,0.0,0.0,2429.2,10.957037312461186,3060.28,11.673262897179463,0.0,0.0,17.88,1.0252154245165583,0.0,0.0
HA,5988.56,14.868880253738004,53479.92,55.5492550205071,0.0,0.0,2419.36,8.765059421741913,5.88,0.5577335086460797,0.0,0.0,59.92,1.8438365798880696,0.0,0.0
DA,28534.8,37.06687649820704,53475.48,50.67922388250765,0.0,0.0,2416.04,10.822889324636622,1574.68,8.694388995208346,0.0,0.0,35.96,1.1350183552113449,0.0,0.0
AA,26426.48,24.70196483413145,53484.32,40.52389089578311,0.0,0.0,2426.24,7.217866720853192,1493.52,8.314068398403595,0.0,0.0,37.64,0.9606941934524915,0.0,0.0
AD,26442.4,31.97874293964664,6777.56,17.695016247520094,0.0,0.0,24205.6,32.88469755575279,71.76,1.9410306540598476,0.0,0.0,718.68,3.95589012317919,0.0,0.0
DD,28513.52,30.810069782459113,6793.0,19.018937930389278,0.0,0.0,24321.16,33.197825229975535,60.36,1.2843675486401858,0.0,0.0,782.56,5.4024932515768445,0.0,0.0
HD,5977.96,14.711274587879867,6720.32,17.298816915230553,0.0,0.0,24301.32,32.26301907757549,118.8,2.262741699796952,0.0,0.0,2.88,0.3282275633357646,0.0,0.0
VD,48968.44,42.48776608232853,6793.72,17.86005972367767,0.0,0.0,24317.72,30.578942645770688,12.28,0.6364484791926733,0.0,0.0,1518.92,5.693247462272008,0.0,0.0
RD,27546.16,35.59947003350845,6747.36,15.16353960437118,0.0,0.0,24219.88,24.607608579461758,52.52,1.2289833196589774,0.0,0.0,841.6,6.021627686929839,0.0,0.0
LD,27703.08,29.819172803192693,6759.88,13.97966618580954,0.0,0.0,24227.32,26.467635582600373,73.04,1.5049695456497894,0.0,0.0,784.8,6.158733636065129,0.0,0.0
LH,27645.0,27.62878933286799,29970.4,39.50983000047794,0.0,0.0,13402.6,23.417087777945405,812.44,4.918021282318056,0.0,0.0,420.0,4.090232267243512,0.0,0.0
RH,27576.36,35.71110378206383,29872.16,34.187993993993466,0.0,0.0,13428.32,26.277729480810677,888.76,6.298751198981165,0.0,0.0,420.0,3.2685368796042873,0.0,0.0
VH,48826.2,54.604212291727094,29865.72,35.409439419454245,0.0,0.0,13412.24,25.692234883974834,1534.12,7.123510370596788,0.0,0.0,757.16,6.2200428723066965,0.0,0.0
HH,5986.84,14.57825778342529,29913.32,28.842718318494185,0.0,0.0,13393.44,21.046700453990407,56.72,2.070845238061019,0.0,0.0,35.44,0.9967948635501689,0.0,0.0
DH,28509.36,35.61946471617263,29865.92,31.8423680023958,0.0,0.0,13410.04,24.5083305564999,531.48,4.325551987897037,0.0,0.0,551.76,5.292850523741123,0.0,0.0
AH,26382.84,23.427809685642117,29896.16,37.22976765976388,0.0,0.0,13402.4,25.007532198653003,1066.36,5.386674917485431,0.0,0.0,245.88,2.814438961261492,0.0,0.0
AV,26443.52,25.060401699360952,30094.24,36.46099651225494,0.0,0.0,13298.16,26.093145971052756,505.2,5.854912467321779,0.0,0.0,520.4,4.763052242697603,0.0,0.0
DV,28525.16,36.954687569147886,30123.6,32.75133585061837,0.0,0.0,13269.12,25.96551045778483,1114.16,6.626633132041239,0.0,0.0,270.24,3.7059771540940005,0.0,0.0
HV,6000.12,18.007065280050494,30068.36,28.840242717425248,0.0,0.0,13301.68,18.100710851602855,73.24,1.7342433508593884,0.0,0.0,25.2,0.9363047936792093,0.0,0.0
VV,48860.72,52.93463012685238,30043.48,36.28760669980868,0.0,0.0,13310.64,24.66846029514881,1528.84,6.612029441354094,0.0,0.0,767.92,5.446381061463351,0.0,0.0
