State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LA,24680.68,29.390742306606228,17928.12,22.28596867986671,0.0,0.0,17574.12,24.773327054179326,464.48,4.868647998503624,0.0,0.0,513.72,4.447666054610366,0.0,0.0
RA,24715.04,28.431348895189622,17906.28,31.549723717754908,0.0,0.0,17624.56,25.7513158239859,475.6,4.890807704254994,0.0,0.0,474.16,3.5306656596171777,0.0,0.0
VA,16449.24,25.376385348061955,17953.24,24.73386881720421,0.0,0.0,17491.48,24.359332229489926,858.96,5.892786550803731,0.0,0.0,9.32,0.508985919910037,0.0,0.0
HA,33967.24,42.14808338861131,17867.16,25.89592503335869,0.0,0.0,17547.48,25.83493242362622,12.24,0.6739930761266517,0.0,0.0,1042.0,7.864265170164766,0.0,0.0
DA,24877.84,30.772156245541197,17963.92,25.021385519857482,0.0,0.0,17539.56,23.298861202499438,444.28,4.187887295522648,0.0,0.0,518.76,4.4193815555271225,0.0,0.0
AA,25668.2,38.399088530849276,17942.6,25.409512654384642,0.0,0.0,17556.8,23.23818696312889,429.92,4.1367942499798875,0.0,0.0,524.52,4.479627960742574,0.0,0.0
AD,25721.72,32.65024349066941,37687.16,40.65417895698629,0.0,0.0,8352.32,21.492922866221182,1113.2,5.860034129593445,0.0,0.0,205.08,2.734300641846101,0.0,0.0
DD,24854.28,28.938585544793533,37726.56,37.01004728448749,0.0,0.0,8402.8,21.16396308193088,1052.76,4.643016261009647,0.0,0.0,237.52,3.321706388790757,0.0,0.0
HD,33987.24,34.04214446829106,37683.68,43.26695120604948,0.0,0.0,8334.12,17.176759492601235,2147.56,11.13344510921934,0.0,0.0,17.36,1.1802259670644994,0.0,0.0
VD,16517.76,19.57883891688507,37735.8,37.84573952243501,0.0,0.0,8361.52,17.25592844985939,12.72,0.6442566776267566,0.0,0.0,429.72,4.54368426133096,0.0,0.0
RD,24669.04,36.8357380813796,37639.08,40.83727545596874,0.0,0.0,8341.48,17.85414237649067,929.76,6.764190022956678,0.0,0.0,239.84,2.622772070412016,0.0,0.0
LD,24554.24,30.80255833530715,37600.76,45.529597699372076,0.0,0.0,8341.96,21.061693505825527,1026.0,5.136795369358864,0.0,0.0,226.44,2.675244537109333,0.0,0.0
LH,24600.0,30.734779430909647,27784.28,50.33814060928354,0.0,0.0,12925.68,24.348492081988702,553.48,5.10395924748621,0.0,0.0,461.8,4.019120965252642,0.0,0.0
RH,24682.92,36.95217269209846,27757.48,32.498980496829944,0.0,0.0,12944.08,23.595968582224664,906.88,5.687506776552739,0.0,0.0,266.36,3.5603745121358608,0.0,0.0
VH,16430.96,24.764321109208705,27705.24,30.586286687555475,0.0,0.0,12918.64,26.497728204508398,437.08,4.27392091644195,0.0,0.0,213.84,2.909570415026933,0.0,0.0
HH,33858.6,43.06762124845068,27796.64,33.02644798743374,0.0,0.0,12905.6,20.912516188477497,1054.12,6.548872676524818,0.0,0.0,543.36,4.831107533475114,0.0,0.0
DH,24801.52,28.990982506059822,27729.24,42.52416097545802,0.0,0.0,12883.48,22.97136768530192,119.92,2.1102290554976886,0.0,0.0,680.68,5.575757048748328,0.0,0.0
AH,25648.16,34.86964678150134,27734.16,39.77929444656688,0.0,0.0,12930.0,16.008955826869744,1359.24,8.574823613346226,0.0,0.0,75.96,1.7733959888680626,0.0,0.0
AV,25656.8,35.549308478975135,27798.76,23.837804708767404,0.0,0.0,12953.52,13.258974319305395,157.32,1.7537768767244404,0.0,0.0,653.64,4.456785089426384,0.0,0.0
DV,24865.04,31.264115745265098,27843.88,40.262402643988686,0.0,0.0,12941.12,27.722212513915025,1378.12,6.537410292564888,0.0,0.0,74.16,1.5574337867145431,0.0,0.0
HV,34065.76,37.40402295653949,27831.32,32.34824673249953,0.0,0.0,12974.6,23.711670825425465,1095.4,6.9942833800182855,0.0,0.0,520.2,5.196473162957097,0.0,0.0
VV,16429.4,25.461932369716166,27838.96,27.712541084017055,0.0,0.0,12954.4,19.928957156191924,434.12,4.207263560399641,0.0,0.0,223.88,2.8811571749327847,0.0,0.0
RV,24748.44,26.023968439370144,27810.2,38.41089255233034,0.0,0.0,13001.04,18.90418648518541,503.96,3.2992322339194815,0.0,0.0,461.48,4.043150586691852,0.0,0.0
LV,24576.36,24.841489488353954,27828.8,24.082151066713287,0.0,0.0,12982.4,20.218720698072534,940.8,5.361280941466631,0.0,0.0,267.24,3.0156701853264174,0.0,0.0
