State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LA,27579.8,33.10800507430189,55147.24,48.54878233969074,0.0,0.0,1642.96,9.333180951137006,1636.0,8.988140334166276,0.0,0.0,10.88,0.7264525678482617,0.0,0.0
RA,27497.44,34.57634451471121,54978.16,50.70324381470414,0.0,0.0,1645.52,10.136093922216782,1744.12,7.344912071177798,0.0,0.0,11.16,0.6018859249614221,0.0,0.0
VA,50168.96,45.83188409829995,54940.6,42.958468315339175,0.0,0.0,1634.04,10.119367569171505,3158.72,9.736618167173514,0.0,0.0,16.88,0.8252676333570017,0.0,0.0
HA,4388.44,14.009530089668724,55012.92,48.380089568609385,0.0,0.0,1611.64,6.942833235310592,4.8,0.38297084310253526,0.0,0.0,4.32,0.4111771718695808,0.0,0.0
DA,28416.88,38.21545586103438,54974.32,57.32375074958022,0.0,0.0,1621.6,5.964059020499379,1609.48,8.148439523409783,0.0,0.0,10.68,0.6156839015815394,0.0,0.0
AA,26210.28,30.518328918864484,55061.92,40.897103401911814,0.0,0.0,1631.08,9.098153658847492,1537.68,6.8643329367584345,0.0,0.0,11.16,0.6018859249614221,0.0,0.0
AD,26224.56,32.41820887505456,5063.92,12.42201271936235,0.0,0.0,24942.84,33.20590710501171,8.8,0.5686240703077327,0.0,0.0,759.92,5.7372815862566835,0.0,0.0
DD,28492.68,40.082278711004776,5044.76,17.493835104592325,0.0,0.0,25005.2,40.52591763304071,10.6,0.5686240703077327,0.0,0.0,800.12,6.131427240047785,0.0,0.0
HD,4391.48,12.66058450467434,5075.72,16.038965053892973,0.0,0.0,24901.76,18.724963729381876,9.64,0.694934049628692,0.0,0.0,2.6,0.38297084310253526,0.0,0.0
VD,50130.48,47.338079104810895,5063.52,15.074937258023107,0.0,0.0,24912.36,28.601100211938235,9.04,0.5758472019555188,0.0,0.0,1549.72,6.704853963112595,0.0,0.0
RD,27511.8,34.919192430524504,5070.96,17.060918302756548,0.0,0.0,24916.52,26.551843627138208,6.84,0.4570922591045853,0.0,0.0,856.4,4.775283586692348,0.0,0.0
LD,27563.36,35.73923520912742,5055.56,14.527569193318843,0.0,0.0,24894.24,32.67569331067564,10.52,0.7328483244619358,0.0,0.0,805.08,7.321183875121109,0.0,0.0
LH,27558.56,33.37759128517215,29867.12,25.34563210233011,0.0,0.0,13370.04,27.03759604698613,893.4,4.638606112472438,0.0,0.0,379.04,3.491169813496139,0.0,0.0
RH,27525.68,31.429164799593384,29816.32,34.9862220500204,0.0,0.0,13335.12,17.626714573812862,816.28,5.706288928308252,0.0,0.0,463.84,3.5301935735405032,0.0,0.0
VH,50126.68,50.68342003719427,29867.24,34.984533725633675,0.0,0.0,13357.56,24.510275396249632,1596.88,7.862849356308436,0.0,0.0,788.2,5.7532599454570095,0.0,0.0
HH,4404.36,12.124064225058087,29771.04,40.95332627923321,0.0,0.0,13383.28,28.585982578879463,4.12,0.33326665999866634,0.0,0.0,5.0,0.36514837167011077,0.0,0.0
DH,28435.68,24.762923898441393,29854.72,43.66056649502691,0.0,0.0,13333.36,23.246496510227082,769.08,5.266852317402998,0.0,0.0,428.76,3.7692970166862674,0.0,0.0
AH,26146.32,35.29262056955627,29826.68,41.647717824629964,0.0,0.0,13373.6,26.456001209555456,817.6,5.309739478857069,0.0,0.0,367.4,2.9999999999999996,0.0,0.0
AV,26159.76,31.952009848103973,30017.6,40.177439772422865,0.0,0.0,13253.76,24.65794530504654,736.24,5.242543911753783,0.0,0.0,404.52,3.6410254965691564,0.0,0.0
DV,28418.72,26.736586668209288,30030.04,26.44405919420592,0.0,0.0,13255.76,18.977291692968205,874.4,5.564470624716545,0.0,0.0,388.6,3.158058475287203,0.0,0.0
HV,4394.28,14.470835036951621,30041.04,30.380831676129826,0.0,0.0,13266.52,24.29054136901852,9.48,0.44766058571198786,0.0,0.0,2.2,0.23804761428476168,0.0,0.0
VV,50135.24,40.115927011599766,30034.12,37.61229054444836,0.0,0.0,13275.32,22.951232356164812,1596.76,7.957654595838316,0.0,0.0,792.04,6.024250990787153,0.0,0.0
RV,27481.8,38.86605202487127,29980.84,26.76525608570434,0.0,0.0,13268.28,25.661548407425975,935.8,5.553677460326025,0.0,0.0,412.68,4.169620286468941,0.0,0.0
LV,27526.0,36.13820692840197,30078.32,36.810945835896874,0.0,0.0,13275.76,25.77468266859297,762.56,6.221757522329737,0.0,0.0,435.64,4.47209123341642,0.0,0.0
LL,27579.44,36.73622553647375,29992.16,36.28942361992908,0.0,0.0,13441.52,19.919598389525827,804.96,6.279989384279775,0.0,0.0,413.8,3.8501082235871413,0.0,0.0
RL,27430.32,40.437471071602225,29942.0,39.8925640522976,0.0,0.0,13454.36,24.07210557194087,945.56,6.083606386566003,0.0,0.0,400.2,4.844584605515729,0.0,0.0
VL,50218.68,45.10871017146615,29985.72,34.08482164639661,0.0,0.0,13442.16,18.5093381837385,1648.24,7.803050685469114,0.0,0.0,760.72,6.028410514665813,0.0,0.0
HL,4398.92,12.332736922516428,29969.08,31.53695821307651,0.0,0.0,13449.64,19.756254705788756,5.52,0.44766058571198786,0.0,0.0,3.84,0.37273761995984966,0.0,0.0
DL,28350.84,33.85644596429657,29946.4,35.20620210512156,0.0,0.0,13468.04,21.25091998008557,779.24,4.408053236218153,0.0,0.0,423.88,4.447965827206859,0.0,0.0
AL,26112.44,27.930633123269274,29954.88,30.87962219112576,0.0,0.0,13431.08,26.019666920747976,855.4,6.960603422117941,0.0,0.0,337.2,3.993745109543172,0.0,0.0
AR,26171.6,33.70004945594788,28144.88,34.314541135404,0.0,0.0,13987.96,21.879174268392,686.84,5.4832107382445185,0.0,0.0,416.16,3.918196864205098,0.0,0.0
DR,28364.6,31.432096122700226,28112.4,26.608770483933803,0.0,0.0,13961.44,20.437961411712926,860.88,4.647694769094317,0.0,0.0,377.48,4.16257932857341,0.0,0.0
HR,4407.52,13.543647957622051,28152.08,27.97873716473518,0.0,0.0,13917.16,23.5079192330301,8.4,0.7187952884282607,0.0,0.0,2.4,0.29439202887759486,0.0,0.0
VR,50171.84,36.20537160882807,28179.56,26.19618801785227,0.0,0.0,14008.36,25.44241078724001,1556.28,10.870375645149833,0.0,0.0,794.4,5.527205442174191,0.0,0.0
RR,27501.24,29.877989669096998,28130.76,35.01044034760679,0.0,0.0,13981.56,24.903686474094556,806.32,6.649491208606365,0.0,0.0,458.0,3.8897300677553446,0.0,0.0
LR,27547.04,29.985912247809523,28151.68,31.809051122806743,0.0,0.0,14013.0,22.690085940780392,844.84,6.2789808090167,0.0,0.0,392.36,4.3699275356310725,0.0,0.0
