State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LA,25456.04,28.601892711264174,27722.0,31.97983739796061,0.0,0.0,12890.2,28.024572551007207,659.52,4.613429671441121,0.0,0.0,474.44,3.7090340162006243,0.0,0.0
RA,25429.96,30.795371946663245,27745.44,31.374941168603538,0.0,0.0,12853.92,31.20656554850811,866.4,6.527888887943277,0.0,0.0,304.12,4.522285557842038,0.0,0.0
VA,22370.28,29.096478595642235,27699.8,30.551541150434076,0.0,0.0,12868.32,26.26548559104387,667.24,5.721095466196429,0.0,0.0,314.0,2.3338094752285725,0.0,0.0
HA,29403.44,46.25246227679848,27798.56,29.23679645013568,0.0,0.0,12827.48,18.60950653116125,860.6,6.915923654870693,0.0,0.0,481.16,3.344488002669467,0.0,0.0
DA,25741.72,31.046015310610585,27730.24,26.753272696999147,0.0,0.0,12833.12,20.662794260860913,52.8,1.5790292376436015,0.0,0.0,746.08,5.2924222557665725,0.0,0.0
AA,26081.88,34.52449951363042,27753.64,29.21397382532316,0.0,0.0,12844.68,22.764645103024705,1464.08,7.565474208534452,0.0,0.0,42.04,0.9957911427603682,0.0,0.0
AD,26026.12,31.732334718180862,27885.08,31.241687961226848,0.0,0.0,12811.2,17.292002004780517,63.52,1.315446692192428,0.0,0.0,737.56,5.921452524507818,0.0,0.0
DD,25683.4,29.005804016897493,27859.96,27.37629631633907,0.0,0.0,12772.84,21.684685840472767,1508.2,6.993806784100725,0.0,0.0,35.6,1.187434208703792,0.0,0.0
HD,29353.4,32.391871408323,27755.2,29.329905102699076,0.0,0.0,12789.48,24.628852998059003,942.4,5.801436603692802,0.0,0.0,424.68,4.201872598417679,0.0,0.0
VD,22284.36,28.047868605891132,27795.56,36.76316453553294,0.0,0.0,12773.88,18.089437065130948,616.44,6.163894872562315,0.0,0.0,342.8,2.6248809496813377,0.0,0.0
RD,25398.36,30.37476364791447,27839.8,35.4939431452748,0.0,0.0,12800.76,23.927618630639643,635.28,3.2329140621633194,0.0,0.0,443.2,3.4190641994557516,0.0,0.0
LD,25334.84,36.5499968080254,27819.68,40.49476180116798,0.0,0.0,12760.96,23.648782914419364,889.08,6.686035197833367,0.0,0.0,324.44,3.8214656874031983,0.0,0.0
LH,25327.0,30.938271875892916,31647.16,33.722726263851605,0.0,0.0,11015.04,22.957241413840066,898.84,7.064389570231812,0.0,0.0,329.8,4.3653942166391655,0.0,0.0
RH,25371.6,34.17396669981405,31602.32,31.732460772317467,0.0,0.0,11023.8,17.0200861729115,792.48,3.841058881784207,0.0,0.0,348.4,3.575844888507703,0.0,0.0
VH,22247.32,26.422762913821106,31605.32,35.45958826608115,0.0,0.0,10985.96,26.559585840144415,13.76,0.7751988992080248,0.0,0.0,626.08,4.158894083767944,0.0,0.0
HH,29349.68,47.034303793437104,31605.16,33.03350218591221,0.0,0.0,11001.68,19.541214564777356,1805.84,9.24151502731019,0.0,0.0,14.6,0.9,0.0,0.0
DH,25680.4,35.39924669631638,31710.68,42.70197965746631,0.0,0.0,11007.56,26.334962818782692,872.96,6.963830363624126,0.0,0.0,348.56,4.91530941718491,0.0,0.0
AH,25962.52,38.854691694397296,31646.4,33.571763929429345,0.0,0.0,10993.92,16.523611388958933,933.84,7.062029925359044,0.0,0.0,299.44,3.509548878892177,0.0,0.0
AV,25991.8,29.484911395491757,23806.64,32.84173564231951,0.0,0.0,14617.64,26.979614526527246,604.4,3.4399612400917157,0.0,0.0,472.12,3.281930326296807,0.0,0.0
DV,25688.32,22.42132318426665,23773.96,34.5497940177169,0.0,0.0,14607.84,25.05984038257227,680.36,5.684446616279665,0.0,0.0,436.56,4.323995066293824,0.0,0.0
HV,29298.72,29.535826832283988,23818.44,27.038187809096968,0.0,0.0,14616.92,25.847109445093984,14.2,0.7141428428542851,0.0,0.0,879.32,5.650286128448128,0.0,0.0
VV,22219.72,34.97820845421713,23815.72,30.840315605821324,0.0,0.0,14590.72,33.6561297042109,1257.92,5.277284655325439,0.0,0.0,12.0,0.6733003292241386,0.0,0.0
RV,25361.36,28.084864251051663,23735.0,31.15375846774618,0.0,0.0,14664.16,25.20057406753531,688.16,4.639209702812179,0.0,0.0,399.2,4.8086727205470465,0.0,0.0
LV,25325.56,37.729037446861355,23843.16,31.387772566186765,0.0,0.0,14690.0,28.571314285485716,664.52,3.4641593496835568,0.0,0.0,450.32,5.037764054287047,0.0,0.0
LL,25311.24,33.330530548832655,27708.52,36.55872536071245,0.0,0.0,12865.36,24.572673168922154,48.8,1.255653880122491,0.0,0.0,748.64,5.360621854474224,0.0,0.0
RL,25438.96,23.71177485273228,27692.76,33.24025070102009,0.0,0.0,12852.56,21.64532898032891,1440.64,4.680413087182227,0.0,0.0,30.24,1.1376584138776749,0.0,0.0
VL,22266.52,34.85690366818793,27721.28,30.667546364194187,0.0,0.0,12855.52,26.24729319377524,619.8,5.904518044119548,0.0,0.0,329.84,3.7133453021949543,0.0,0.0
HL,29356.24,27.964517994534912,27731.8,27.97677608303001,0.0,0.0,12849.08,22.520799275336568,949.28,6.956895859505157,0.0,0.0,434.52,4.334020458342731,0.0,0.0
DL,25720.36,31.706459909614637,27803.24,41.01578070287907,0.0,0.0,12861.12,16.515782351032197,891.72,5.450541257526632,0.0,0.0,318.8,3.4722711107669384,0.0,0.0
AL,26043.52,38.8688444215501,27698.92,32.778189903247146,0.0,0.0,12837.64,20.619236972626638,658.68,5.414400551615417,0.0,0.0,460.96,3.8847908566613976,0.0,0.0
AR,26035.64,30.719476992075677,27767.6,34.61208844705368,0.0,0.0,12635.84,23.451842855804177,889.6,5.1449003877626245,0.0,0.0,300.2,4.418898807018177,0.0,0.0
DR,25692.52,29.934323665874484,27697.44,37.63690918942911,0.0,0.0,12636.4,24.24190586566988,653.36,5.261140560752962,0.0,0.0,470.32,4.834501008377183,0.0,0.0
HR,29348.68,46.47417634199306,27762.08,35.808049374407425,0.0,0.0,12623.84,24.07825298203062,870.28,7.629879859255103,0.0,0.0,467.08,3.9878649258301957,0.0,0.0
