State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LA,23601.8,26.36683522912828,26623.12,39.75174293872744,0.0,0.0,12519.28,19.83561779560529,646.6,5.905082556577851,0.0,0.0,429.92,4.509589781787253,0.0,0.0
RA,23673.44,30.6727392538282,26628.0,41.323318679247755,0.0,0.0,12491.56,25.081206775857762,729.92,5.055333816871048,0.0,0.0,292.56,3.8691428852740324,0.0,0.0
VA,5160.44,14.204351445947822,26625.16,32.80521706476984,0.0,0.0,12540.32,22.50805189260057,82.12,1.7704236781064584,0.0,0.0,33.56,1.1748475078352367,0.0,0.0
HA,43709.0,53.73056237685711,26651.16,30.505282602635667,0.0,0.0,12535.8,15.293353676243367,1385.44,7.91961278514718,0.0,0.0,725.64,5.4841833181127955,0.0,0.0
DA,23495.48,28.519240289086717,26645.6,28.652341381930142,0.0,0.0,12556.92,18.70631978770811,428.12,4.063381186483329,0.0,0.0,501.92,4.565785803123051,0.0,0.0
AA,25423.04,26.417448779168666,26629.04,24.107708310828713,0.0,0.0,12529.96,23.052221874112988,1040.0,6.1351446600711865,0.0,0.0,252.56,3.2894173749566447,0.0,0.0
AD,25439.44,28.80515463130398,26966.72,30.90445059642165,0.0,0.0,12376.2,21.111608181282637,491.64,4.9409445790590825,0.0,0.0,512.08,4.665804682295791,0.0,0.0
DD,23516.56,29.206054166901772,26980.4,34.027635827368314,0.0,0.0,12371.84,25.18251245077292,1046.64,5.602642233803619,0.0,0.0,211.64,2.7196078148635086,0.0,0.0
HD,43763.96,36.924674676969055,26952.76,26.445307082101856,0.0,0.0,12401.88,20.47293497930052,1467.36,7.839404739306848,0.0,0.0,673.6,5.482092058086341,0.0,0.0
VD,5203.32,13.746723245923011,26952.4,33.73242752407047,0.0,0.0,12417.52,20.01775212155451,71.84,1.9762590923257004,0.0,0.0,45.8,1.1575836902790226,0.0,0.0
RD,23659.84,18.79686853352618,27016.56,33.75352228533589,0.0,0.0,12437.96,21.22384508047493,591.28,5.442891388468695,0.0,0.0,368.2,3.504283093587047,0.0,0.0
LD,23687.6,37.848822086470975,26980.8,30.086708028629523,0.0,0.0,12433.08,20.778668548939,842.16,4.956705895383882,0.0,0.0,317.84,2.9601126104705315,0.0,0.0
LH,23659.84,31.235699661338355,47695.84,49.63045704672351,0.0,0.0,2806.08,9.212838867580395,1395.72,8.449954634986707,0.0,0.0,47.4,1.146007562511406,0.0,0.0
RH,23726.08,25.833177633939396,47644.36,47.62624906498517,0.0,0.0,2802.36,12.706413078966593,1250.44,6.021373043860788,0.0,0.0,44.2,1.4399074044303453,0.0,0.0
VH,5211.88,12.146648371738875,47766.48,50.85725513631266,0.0,0.0,2787.52,11.67805919948459,11.92,0.8244594188517308,0.0,0.0,69.08,1.3661625086350453,0.0,0.0
HH,43867.44,35.90603848936833,47752.08,33.57434139339147,0.0,0.0,2820.88,11.148291348901859,2856.56,9.982998881431705,0.0,0.0,19.04,0.884081444212014,0.0,0.0
DH,23584.76,28.499373092520237,47714.0,47.95470084708415,0.0,0.0,2807.96,10.808712535111047,1393.48,8.242596678231928,0.0,0.0,49.64,1.2959938271457934,0.0,0.0
AH,25493.68,24.815970664070345,47673.96,40.2508997829034,0.0,0.0,2798.2,8.558231904624538,1462.72,8.441469066459934,0.0,0.0,39.16,1.0703270528207725,0.0,0.0
AV,25435.08,32.53126291226129,5907.8,17.52360313025454,0.0,0.0,22138.08,28.019988103732903,69.28,1.9100785324169263,0.0,0.0,727.24,5.669297428547326,0.0,0.0
