State,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
LA,25029.04,32.266106055735946,27443.48,37.87972720774706,0.0,0.0,12873.12,20.149799006441725,632.24,5.852144905929791,0.0,0.0,456.2,3.936580580486912,0.0,0.0
RA,25123.44,34.59460844312786,27438.92,43.205397810921724,0.0,0.0,12878.44,22.567312644619427,801.64,5.844336289662554,0.0,0.0,292.12,3.3967239118499655,0.0,0.0
VA,14116.52,27.065976181668866,27358.12,34.78789636257606,0.0,0.0,12861.2,23.426978749581288,349.12,3.4824895309725385,0.0,0.0,171.92,2.4979458227378215,0.0,0.0
HA,37165.36,36.19709380599498,27341.04,37.52561258660543,0.0,0.0,12854.24,19.526501649467747,1142.8,7.038939314034939,0.0,0.0,611.16,4.943237805325574,0.0,0.0
DA,25162.2,29.723223243787004,27412.64,31.285986213212674,0.0,0.0,12860.76,25.970770749697312,149.48,1.8075028815099206,0.0,0.0,687.64,4.404497701214067,0.0,0.0
AA,26182.4,29.936711019526957,27417.56,32.1022366822002,0.0,0.0,12865.12,18.87902892982935,1350.16,7.211028590522529,0.0,0.0,94.76,1.6845177351396452,0.0,0.0
AD,26106.44,36.60747100433644,27476.96,40.4351530230813,0.0,0.0,12798.0,25.398884489940368,177.92,2.3964696256507545,0.0,0.0,661.44,4.459476800403085,0.0,0.0
DD,25120.92,33.98317819157002,27530.32,24.270813748203828,0.0,0.0,12763.52,23.01254150820084,1364.84,7.747618989083034,0.0,0.0,79.88,1.6696506620647729,0.0,0.0
HD,37109.56,39.71011961704472,27483.36,27.183872669899944,0.0,0.0,12778.32,23.299479250260795,1196.72,5.405096360534812,0.0,0.0,557.88,3.7939952556638756,0.0,0.0
VD,14041.2,24.20316783673851,27472.36,21.32040337329479,0.0,0.0,12778.56,26.346605094394988,335.4,3.8,0.0,0.0,182.96,2.881249728850313,0.0,0.0
RD,24948.36,26.817089078918816,27374.72,29.366450245135177,0.0,0.0,12747.48,22.42127858382152,588.96,4.583841183985326,0.0,0.0,415.04,5.101790535357823,0.0,0.0
LD,24968.8,24.161677645947243,27458.28,38.57583526855468,0.0,0.0,12783.72,23.535966802605184,867.76,5.34299541455914,0.0,0.0,308.76,4.012596831645728,0.0,0.0
LH,24950.2,33.7610228912968,39912.48,41.843403303268715,0.0,0.0,6968.92,21.36874040898683,1133.92,5.659776202878225,0.0,0.0,188.24,3.4781604333325395,0.0,0.0
RH,25011.68,28.54626186852959,39965.6,46.29139588879702,0.0,0.0,6946.36,17.41664720892055,1030.84,7.580826691946818,0.0,0.0,199.56,2.7258515489047945,0.0,0.0
VH,14096.8,23.081594399001123,39920.4,43.36657699196468,0.0,0.0,6941.4,15.449811217832618,12.52,0.5776965754903982,0.0,0.0,342.92,4.307327090745102,0.0,0.0
HH,36983.96,41.26352222807291,39854.44,55.222612518182565,0.0,0.0,6976.4,19.858331584836964,2308.04,9.943084699092797,0.0,0.0,17.6,0.9899494936611666,0.0,0.0
DH,25052.16,28.857909372186565,39811.36,42.19205612434644,0.0,0.0,6935.08,16.97929327151163,1134.12,7.373447859267285,0.0,0.0,189.12,2.6841013393685413,0.0,0.0
AH,26049.88,34.238103530034095,39898.0,45.83819368168864,0.0,0.0,6928.12,17.902822868661428,1188.52,7.687244846714155,0.0,0.0,171.44,2.7123667401981857,0.0,0.0
AV,26082.24,29.72155671113701,14777.48,24.896794974454043,0.0,0.0,18652.36,28.767451514978983,342.64,3.108525910030884,0.0,0.0,590.16,3.8002982339109472,0.0,0.0
DV,25144.12,29.134133474900768,14753.12,22.168394920095892,0.0,0.0,18694.16,20.41981717188803,357.08,3.2202070326818015,0.0,0.0,565.68,4.765053340030239,0.0,0.0
HV,37080.0,46.93445784637693,14714.12,22.086822617419042,0.0,0.0,18716.8,28.36035965921448,12.56,1.0084311247345221,0.0,0.0,1143.08,6.844199490566202,0.0,0.0
VV,14024.2,20.283572992284505,14731.2,28.33131365350596,0.0,0.0,18662.6,22.84797584032336,684.2,5.086255990411808,0.0,0.0,10.4,0.7257180352359082,0.0,0.0
RV,24969.56,34.95082640892296,14751.76,23.8055511733433,0.0,0.0,18681.72,30.09991805082975,374.04,3.729378858022695,0.0,0.0,517.28,5.254369610143543,0.0,0.0
LV,24907.12,22.716317189779392,14764.84,29.543283500653747,0.0,0.0,18698.6,28.624465060503745,376.28,4.70089353208515,0.0,0.0,568.76,5.207456192806617,0.0,0.0
LL,24929.96,34.9674362800592,27692.76,37.35234396928793,0.0,0.0,12704.76,24.76134622080687,156.2,2.5987176324743966,0.0,0.0,673.08,6.056379556577785,0.0,0.0
RL,24972.2,25.779643131742528,27703.36,27.477195393028502,0.0,0.0,12714.72,22.82056966861257,1309.92,7.198823978030485,0.0,0.0,60.52,1.6228781018096625,0.0,0.0
VL,14005.36,28.6965084984219,27689.0,30.699402817210192,0.0,0.0,12698.0,27.239309829729535,335.56,3.985423440489104,0.0,0.0,182.2,2.6981475126464085,0.0,0.0
HL,37138.96,35.337019304595195,27720.48,35.03070653012868,0.0,0.0,12765.36,19.651622494508352,1221.76,6.970958805405944,0.0,0.0,564.44,4.4264658588991725,0.0,0.0
DL,25099.48,33.621675548173776,27672.16,36.64904182467349,0.0,0.0,12708.48,18.383971279350934,869.32,5.014884511797522,0.0,0.0,312.4,3.9874804074753767,0.0,0.0
AL,26123.32,27.605417342736672,27706.88,44.70202530833102,0.0,0.0,12712.68,23.44025881540845,668.72,6.158603737861368,0.0,0.0,445.32,4.80996188481087,0.0,0.0
AR,26145.12,35.633800433483565,27582.36,36.22553795321748,0.0,0.0,12593.96,25.378959789557964,857.8,5.417871660840015,0.0,0.0,307.6,3.1638584039112745,0.0,0.0
DR,25105.12,35.287784477540285,27617.16,33.30018418367483,0.0,0.0,12508.8,22.920296682198508,641.48,5.767183021198479,0.0,0.0,448.56,3.003375878352003,0.0,0.0
HR,37113.64,38.88045267226193,27621.48,33.66492338720922,0.0,0.0,12502.6,22.74730753298069,1122.48,5.168210522027911,0.0,0.0,603.72,4.891666382737073,0.0,0.0
VR,14084.76,17.85098316620124,27647.76,32.74768592333409,0.0,0.0,12582.76,22.16357973493151,353.48,3.5119415333022475,0.0,0.0,174.6,2.1840329667841556,0.0,0.0
RR,24993.6,22.521989254948153,27702.2,32.51871256164159,0.0,0.0,12564.84,22.18690905316316,115.48,1.7796254287536653,0.0,0.0,636.6,5.105878964487897,0.0,0.0
